"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",12,17,4,5,21,28,5,12,2,11,3,11,22,9,19
"2",24,9,13,22,10,27,20,27,16,10,20,25,4,26,23
"3",17,14,25,10,23,3,18,26,8,9,24,9,6,8,2
"4",29,22,29,15,14,24,29,13,1,1,16,7,11,23,15
"5",21,13,26,27,11,2,4,1,7,19,6,21,14,21,17
"6",22,27,9,3,17,14,8,4,12,26,21,2,3,15,22
"7",3,20,21,21,18,9,23,18,3,25,11,24,8,10,27
"8",8,7,19,2,12,17,7,20,13,2,7,26,16,2,5
"9",19,11,2,12,4,18,22,2,24,6,9,6,13,11,26
"10",15,1,7,28,27,13,27,16,11,7,2,18,1,17,12
"11",13,8,3,19,13,1,28,14,23,28,22,16,23,3,20
"12",2,21,12,17,1,5,1,9,18,3,17,15,2,6,14
"13",7,3,6,6,7,6,12,25,9,16,15,8,10,24,28
"14",28,16,10,13,26,11,13,29,28,23,5,29,12,7,16
"15",16,18,20,7,3,20,15,11,22,29,1,17,5,28,4
"16",20,26,11,9,5,22,25,24,6,18,13,20,28,4,11
"17",4,10,16,14,25,16,14,3,5,4,23,19,29,29,21
"18",26,5,15,20,2,12,6,17,4,22,27,3,18,12,7
"19",11,29,1,18,22,19,3,22,21,15,25,22,9,22,8
"20",5,28,23,26,9,15,19,28,19,12,4,1,24,14,18
"21",6,15,5,25,8,25,17,6,10,24,19,28,21,16,1
"22",9,25,14,11,28,4,24,8,15,21,8,5,19,25,6
"23",27,2,22,4,20,7,21,5,20,13,18,23,25,13,9
"24",18,4,24,16,24,23,2,23,17,27,10,13,26,19,25
"25",1,12,17,1,15,29,26,21,29,20,29,12,15,20,13
"26",23,19,8,24,16,8,10,19,25,5,12,10,27,27,3
"27",10,6,27,23,19,26,11,7,26,17,14,4,7,5,10
"28",25,23,18,29,29,21,16,10,14,14,28,14,17,1,29
"29",14,24,28,8,6,10,9,15,27,8,26,27,20,18,24
