"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",21,15,1,18,5,10,20,26,24,21,15,8,27,20,5,20,21,4,5,25,24,4,5,17,9,12,14
"2",27,28,19,22,4,23,17,8,18,26,13,21,17,18,1,5,5,20,4,14,14,28,16,15,27,10,2
"3",8,20,17,15,10,4,9,12,27,5,3,9,13,4,14,1,6,25,7,27,25,21,26,24,14,7,16
"4",10,6,13,26,1,8,2,25,22,3,26,20,9,23,22,16,16,27,13,8,7,17,14,1,28,14,17
"5",12,26,20,11,25,25,12,6,4,1,14,7,28,19,16,28,14,28,14,1,8,1,11,28,10,13,15
"6",15,1,2,14,13,18,21,15,1,8,1,15,1,24,21,19,1,17,1,18,20,10,12,26,23,28,9
"7",24,18,4,21,2,28,3,1,15,22,2,14,11,1,15,25,13,6,23,19,1,14,9,7,13,16,22
"8",11,14,18,10,3,21,7,16,21,16,22,10,3,11,4,9,24,5,24,3,10,8,27,22,8,26,6
"9",17,12,10,2,26,20,4,13,19,15,18,19,18,17,27,27,19,18,8,21,28,27,28,12,6,5,28
"10",19,4,21,19,22,17,18,18,25,7,16,26,24,3,6,21,2,7,25,2,16,15,20,9,21,3,18
"11",18,22,24,6,12,5,11,20,5,25,5,27,12,13,23,22,22,3,9,6,6,12,23,18,24,8,12
"12",14,19,16,27,9,7,8,2,8,14,21,28,25,26,12,18,8,19,28,23,19,5,24,13,2,20,8
"13",16,21,22,8,21,9,23,17,26,20,9,25,5,12,9,8,9,24,12,20,9,6,8,2,5,22,26
"14",25,25,9,7,8,19,26,22,7,9,27,5,14,15,18,6,10,15,21,10,21,3,25,3,22,9,21
"15",1,27,12,24,17,6,19,19,17,6,12,1,2,5,26,26,20,11,19,16,15,9,13,11,3,6,1
"16",4,2,26,4,7,22,27,10,28,13,8,3,26,14,17,17,17,13,10,24,3,20,18,8,20,18,7
"17",2,23,5,9,28,14,14,28,12,18,28,18,7,8,2,24,3,16,17,26,2,26,17,21,18,17,13
"18",26,7,25,12,6,3,25,5,9,2,19,17,8,10,7,23,26,12,15,13,23,24,15,19,4,21,23
"19",20,13,8,3,23,1,22,3,23,24,20,11,19,6,25,15,12,23,22,11,17,16,10,23,26,25,5
"20",13,16,28,23,14,16,1,27,2,19,10,2,22,9,28,12,4,14,16,5,27,22,3,14,11,27,20
"21",9,5,11,20,27,2,5,4,13,27,7,4,6,16,3,10,15,9,3,9,18,2,19,10,19,19,19
"22",23,8,15,25,20,24,15,23,11,11,17,13,20,2,24,3,27,22,2,22,5,7,21,20,16,23,24
"23",28,3,14,1,18,11,6,24,16,12,6,12,15,27,10,7,7,10,20,12,4,19,7,27,1,1,11
"24",3,24,6,13,11,12,16,9,20,10,11,24,23,28,20,2,23,8,27,7,13,25,6,16,17,24,27
"25",5,17,27,28,24,27,28,14,14,17,23,16,10,25,13,11,18,2,11,15,22,13,4,25,25,2,25
"26",22,11,23,17,16,13,13,11,6,28,25,6,4,22,19,14,28,21,26,28,11,23,1,5,15,4,10
"27",6,10,3,16,19,26,24,21,10,23,4,23,16,21,11,13,25,26,18,4,26,18,22,6,7,15,4
"28",7,9,7,5,15,15,10,7,3,4,24,22,21,7,8,4,11,1,6,17,12,11,2,4,12,11,3
