"","V1","V2","V3"
"1",2,11,15
"2",6,16,10
"3",15,14,14
"4",7,3,2
"5",16,6,4
"6",1,5,6
"7",10,4,16
"8",5,8,8
"9",13,12,7
"10",12,7,11
"11",14,1,9
"12",9,15,5
"13",11,10,1
"14",3,13,3
"15",8,9,13
"16",4,2,12
