"","V1","V2","V3","V4","V5","V6","V7"
"1",22,24,12,12,24,15,3
"2",6,7,13,4,16,1,8
"3",14,12,3,7,2,19,6
"4",7,20,20,18,3,16,22
"5",12,16,11,22,17,13,12
"6",24,17,9,5,8,7,17
"7",20,6,5,9,14,11,21
"8",2,13,7,14,21,3,23
"9",5,21,4,16,11,9,7
"10",19,19,6,2,22,20,11
"11",8,10,24,8,23,10,15
"12",1,5,18,11,7,21,13
"13",13,18,21,10,13,4,2
"14",11,2,10,13,4,6,10
"15",21,9,17,23,1,5,19
"16",15,1,22,3,10,14,24
"17",9,8,8,21,9,22,1
"18",23,14,23,17,15,24,9
"19",17,23,1,20,6,2,14
"20",16,11,14,15,12,17,16
"21",3,15,15,1,5,12,4
"22",10,22,16,6,19,23,20
"23",4,3,2,24,18,18,18
"24",18,4,19,19,20,8,5
