"","V1","V2","V3","V4","V5"
"1",3,2,3,2,1
"2",2,1,3,3,1
"3",3,3,2,2,1
"4",1,3,3,3,3
"5",1,1,1,3,2
"6",1,2,3,3,2
"7",1,3,2,1,2
"8",2,3,2,3,3
"9",2,1,1,2,1
"10",3,3,1,2,2
"11",2,3,1,1,2
"12",1,3,1,3,1
"13",3,2,1,3,1
"14",1,2,1,1,3
"15",2,3,2,1,1
"16",2,2,3,1,3
"17",1,3,2,2,3
"18",3,1,2,3,2
"19",1,2,1,2,2
"20",2,1,1,3,3
"21",3,1,3,1,2
"22",3,1,1,1,1
"23",2,2,3,2,2
"24",1,1,3,1,3
"25",2,2,2,3,2
"26",1,1,3,2,1
"27",3,3,3,3,2
"28",2,1,2,1,3
"29",3,3,1,1,3
"30",2,2,1,1,1
"31",1,1,2,3,1
"32",3,1,3,2,3
"33",2,3,3,2,3
"34",2,1,2,2,2
"35",1,3,3,1,1
"36",3,2,1,2,3
"37",3,2,2,1,2
"38",1,2,2,2,1
"39",3,2,2,3,3

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
