"","V1","V2","V3","V4","V5","V6","V7"
"1",3,1,2,2,2,4,2
"2",3,1,4,1,1,1,4
"3",1,2,2,2,1,1,1
"4",3,4,3,2,3,3,4
"5",2,3,2,1,3,4,4
"6",4,2,3,4,2,4,4
"7",1,1,1,4,3,1,3
"8",4,2,2,3,3,1,2
"9",4,1,3,3,4,2,3
"10",4,3,1,2,4,1,4
"11",2,1,1,4,4,3,4
"12",4,3,4,1,3,2,2
"13",2,4,4,3,2,1,1
"14",3,3,2,4,4,2,1
"15",2,2,3,4,1,2,2
"16",1,4,4,4,3,4,2
"17",2,3,4,2,2,3,3
"18",2,4,3,1,4,1,2
"19",2,1,1,2,3,2,1
"20",4,4,2,4,1,3,3
"21",4,4,1,1,1,4,1
"22",1,1,3,1,2,3,1
"23",3,3,3,3,1,4,3
"24",1,3,1,3,1,3,2
"25",3,2,4,3,4,3,1
"26",1,4,2,3,2,2,4
"27",3,2,1,1,2,2,3
"28",1,2,4,2,4,4,3

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
