"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",4,4,4,4,1,3,2,1,2,4,4,1,3,1,1,2,2,1
"2",2,3,2,1,4,1,1,2,1,1,4,4,3,4,2,2,3,2
"3",4,3,3,4,2,2,2,4,1,4,3,3,4,3,3,3,4,3
"4",1,1,2,2,2,2,1,4,4,4,1,1,1,4,1,2,1,3
"5",4,2,1,4,4,3,1,3,1,3,1,3,2,2,1,4,2,2
"6",3,3,4,4,2,2,4,2,3,2,2,4,1,2,1,2,3,4
"7",2,1,1,1,3,4,2,4,2,3,4,4,2,3,4,2,4,4
"8",2,4,2,3,1,3,4,4,4,3,2,2,3,2,3,3,3,3
"9",3,4,4,3,3,1,1,3,2,1,3,1,2,2,3,1,1,3
"10",3,3,4,2,4,4,2,1,4,2,1,2,2,4,2,3,1,4
"11",4,2,2,2,4,3,3,3,2,1,2,4,4,1,4,3,4,4
"12",2,4,1,2,2,1,3,4,1,2,3,3,3,1,1,4,1,1
"13",3,2,1,2,1,4,1,2,4,4,3,2,4,3,4,1,3,1
"14",1,1,3,4,1,4,3,3,3,2,3,1,2,4,4,3,3,2
"15",1,4,3,1,4,1,4,3,2,4,2,2,1,3,2,4,2,4
"16",1,2,3,3,3,2,2,2,3,3,2,3,3,4,2,1,1,1
"17",1,1,4,1,3,3,4,2,1,2,1,2,4,1,3,1,4,2
"18",3,2,2,1,1,1,3,1,3,3,4,3,1,1,3,1,2,3
"19",2,3,1,3,3,2,3,1,3,1,1,1,4,3,4,4,2,2
"20",4,1,3,3,2,4,4,1,4,1,4,4,1,2,2,4,4,1

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
