"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",1,3,3,2,1,1,3,1,1,3,2,1,1
"2",3,2,1,3,3,1,2,3,2,3,3,1,1
"3",1,1,1,3,1,3,1,2,3,1,3,3,1
"4",3,1,3,1,2,3,2,1,1,1,2,2,1
"5",2,2,3,1,1,3,1,1,2,1,3,1,3
"6",3,3,2,1,1,2,2,2,3,1,1,1,2
"7",3,2,3,2,2,2,1,2,1,2,2,3,3
"8",1,3,2,2,3,1,1,1,2,1,1,3,3
"9",2,3,1,1,2,1,1,3,2,1,2,2,2
"10",1,2,1,1,1,1,2,1,1,2,1,3,2
"11",2,1,2,2,1,2,3,3,1,1,2,3,2
"12",3,3,2,3,3,3,2,1,3,3,2,3,3
"13",2,2,2,3,1,3,3,2,2,2,2,2,3
"14",2,2,3,2,1,2,2,2,2,3,1,2,1
"15",1,2,3,3,3,3,3,3,1,1,1,1,2
"16",3,1,1,2,3,2,3,1,2,1,3,2,1
"17",1,1,2,2,2,3,2,2,2,2,1,1,1
"18",3,2,2,3,2,1,3,3,3,1,1,3,1
"19",3,1,2,1,3,1,1,2,1,3,3,1,2
"20",3,1,1,2,1,3,1,3,1,3,1,2,3
"21",3,3,3,1,1,1,3,3,3,2,3,2,3
"22",2,3,1,1,3,3,3,2,1,2,1,3,1
"23",1,3,1,3,2,2,2,2,1,3,3,2,3
"24",2,2,1,2,3,1,2,2,3,1,2,1,3
"25",2,3,2,3,2,2,1,3,1,2,3,1,1
"26",3,3,1,3,1,2,1,1,2,2,2,1,2
"27",2,1,3,3,3,1,1,1,3,2,1,2,2
"28",2,3,3,2,2,3,2,3,3,3,3,3,2
"29",1,2,2,2,2,3,3,1,3,2,3,2,2
"30",1,2,2,1,3,2,1,3,3,3,2,2,1
"31",1,1,3,3,2,1,3,2,2,3,2,3,2
"32",1,1,3,1,3,2,2,3,2,2,3,3,3
"33",2,1,1,1,2,2,3,1,3,3,1,1,3

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
