"","V1","V2","V3"
"1",3,3,1
"2",2,1,2
"3",3,2,2
"4",1,1,2
"5",2,1,1
"6",3,3,3
"7",1,2,3
"8",3,2,1
"9",2,3,1
"10",2,2,2
"11",2,2,1
"12",1,3,2
"13",2,2,2
"14",1,3,1
"15",1,1,1
"16",1,1,2
"17",3,3,2
"18",3,2,1
"19",3,1,1
"20",2,2,3
"21",2,2,3
"22",3,1,2
"23",3,2,3
"24",3,3,3
"25",1,3,2
"26",3,1,1
"27",1,3,1
"28",2,3,3
"29",2,1,2
"30",2,1,1
"31",3,1,3
"32",1,2,2
"33",1,1,3
"34",1,3,3
"35",3,3,2
"36",1,2,1
"37",1,2,1
"38",3,1,3
"39",1,2,3
"40",2,3,3
"41",2,3,2
"42",2,1,3

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
