"","V1","V2"
"1",5,1
"2",1,6
"3",4,3
"4",4,2
"5",2,4
"6",6,5
"7",4,6
"8",4,3
"9",1,3
"10",2,3
"11",1,6
"12",2,2
"13",6,5
"14",6,3
"15",3,5
"16",5,6
"17",2,6
"18",5,3
"19",1,2
"20",5,4
"21",5,4
"22",4,6
"23",4,1
"24",6,1
"25",5,2
"26",5,1
"27",4,5
"28",1,5
"29",3,4
"30",3,5
"31",3,1
"32",2,1
"33",2,4
"34",3,3
"35",3,2
"36",1,1
"37",1,4
"38",6,6
"39",2,1
"40",4,4
"41",2,5
"42",6,2
"43",3,2
"44",1,3
"45",6,2
"46",5,5
"47",6,4
"48",3,6

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
