"","V1","V2"
"1",2,3
"2",2,1
"3",1,2
"4",4,4
"5",3,3
"6",3,3
"7",1,3
"8",4,2
"9",4,3
"10",2,2
"11",2,2
"12",2,2
"13",3,1
"14",1,4
"15",4,1
"16",3,2
"17",4,1
"18",4,3
"19",1,1
"20",1,4
"21",3,2
"22",4,2
"23",3,1
"24",2,1
"25",3,4
"26",1,2
"27",1,1
"28",2,4
"29",2,1
"30",3,4
"31",2,3
"32",3,3
"33",1,3
"34",3,4
"35",1,3
"36",1,2
"37",2,4
"38",4,4
"39",2,3
"40",4,3
"41",3,2
"42",4,4
"43",4,1
"44",1,4
"45",1,1
"46",4,2
"47",3,1
"48",2,4

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
