"","V1","V2"
"1",2,5
"2",2,5
"3",4,4
"4",2,4
"5",1,1
"6",3,2
"7",4,5
"8",3,3
"9",2,2
"10",5,5
"11",1,5
"12",4,5
"13",4,3
"14",4,5
"15",1,2
"16",3,1
"17",2,4
"18",2,4
"19",2,3
"20",1,3
"21",4,3
"22",3,4
"23",3,2
"24",5,3
"25",1,3
"26",5,3
"27",3,5
"28",2,2
"29",3,5
"30",1,4
"31",3,2
"32",3,3
"33",4,2
"34",4,4
"35",1,1
"36",3,4
"37",4,1
"38",5,5
"39",5,1
"40",5,3
"41",2,3
"42",5,4
"43",4,2
"44",5,1
"45",3,1
"46",2,1
"47",1,4
"48",1,1
"49",5,4
"50",1,5
"51",1,2
"52",5,2
"53",5,2
"54",4,1
"55",2,1

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
