"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",2,3,4,4,2,3,1,3,2,4,4,2
"2",1,1,4,3,1,2,4,3,3,4,2,4
"3",1,3,1,2,1,1,2,4,1,4,1,3
"4",3,1,2,2,1,3,1,2,3,2,1,2
"5",3,1,3,4,1,4,2,1,2,4,3,1
"6",3,3,3,3,2,2,1,2,1,1,3,3
"7",1,1,1,1,3,3,1,4,4,1,3,1
"8",2,4,3,3,1,3,2,4,4,2,1,3
"9",4,2,4,1,2,1,2,2,3,2,3,3
"10",3,3,4,2,4,3,3,1,4,3,3,4
"11",3,2,2,4,1,2,3,4,4,1,4,4
"12",2,3,3,1,4,1,4,1,3,1,1,1
"13",4,4,1,1,2,2,1,1,2,3,1,4
"14",1,2,1,3,4,4,4,1,2,2,4,3
"15",1,4,2,4,2,3,3,1,1,2,2,2
"16",1,3,3,4,3,4,2,2,3,3,4,4
"17",3,4,1,1,3,4,3,3,3,1,2,3
"18",2,4,2,2,3,1,4,3,2,2,3,4
"19",4,3,1,4,4,2,2,3,4,2,2,1
"20",4,2,2,3,3,3,3,3,2,4,1,1
"21",4,2,3,2,2,4,4,4,4,3,2,2
"22",4,4,4,2,1,4,4,2,1,1,4,1
"23",1,1,3,1,4,2,3,3,1,3,4,2
"24",2,2,2,1,4,4,1,2,1,4,2,4
"25",2,1,1,3,2,1,3,2,4,3,4,1
"26",4,4,2,3,4,1,1,4,3,4,3,2
"27",2,2,4,2,3,2,2,1,2,1,2,2
"28",3,1,4,4,3,1,4,4,1,3,1,3

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
