"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,1,2,1,2,1,2,2,1,3,2
"2",1,3,3,2,1,3,1,2,2,2,2
"3",1,2,2,2,2,3,3,3,1,1,3
"4",3,2,1,3,1,2,3,3,2,1,2
"5",2,2,3,1,1,3,2,3,2,3,3
"6",2,1,2,3,2,2,1,2,2,2,3
"7",1,3,1,1,3,2,1,1,1,2,3
"8",1,1,3,1,3,2,3,2,2,1,1
"9",2,3,2,2,3,2,2,3,3,1,2
"10",3,1,3,1,2,1,3,3,3,2,3
"11",2,1,3,2,1,1,1,3,1,3,1
"12",2,2,1,2,2,1,2,1,2,2,1
"13",1,2,3,3,2,2,1,1,3,3,2
"14",3,2,2,1,1,2,2,1,3,2,1
"15",3,1,2,2,3,3,3,1,2,3,2
"16",1,3,2,3,1,1,3,1,3,1,3
"17",2,3,1,1,2,3,3,2,3,3,1
"18",1,1,1,3,3,3,2,3,3,2,1
"19",2,1,1,1,1,3,1,1,1,1,2
"20",3,3,1,2,1,2,2,2,1,3,3
"21",3,3,3,3,2,3,2,1,1,1,1
"22",2,2,3,3,3,1,3,2,1,2,2
"23",3,3,2,3,3,1,1,3,2,3,1
"24",3,2,1,2,3,1,1,2,3,1,3

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
