"","V1","V2","V3","V4"
"1",2,3,3,1
"2",1,1,1,3
"3",3,3,3,2
"4",1,1,3,1
"5",2,2,2,2
"6",3,2,1,1
"7",1,2,1,3
"8",1,1,3,2
"9",1,3,2,3
"10",3,2,3,1
"11",3,1,2,3
"12",1,2,1,1
"13",3,3,2,2
"14",1,1,2,3
"15",2,2,1,2
"16",3,1,1,2
"17",1,2,2,2
"18",3,3,3,3
"19",3,2,1,3
"20",2,1,2,1
"21",2,3,3,2
"22",2,1,3,2
"23",2,1,1,1
"24",1,2,2,1
"25",1,3,3,1
"26",3,3,2,1
"27",3,2,3,2
"28",3,1,3,1
"29",2,1,3,3
"30",1,2,3,3
"31",1,1,1,2
"32",2,3,2,3
"33",1,3,1,2
"34",3,1,2,2
"35",2,3,1,1
"36",2,3,1,2
"37",2,2,3,3
"38",3,3,1,3
"39",2,1,1,3
"40",2,2,2,1
"41",3,2,2,3
"42",1,3,2,1

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
