"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,3,3,2,2,3,1,3
"2",2,1,1,1,2,1,1,3
"3",2,3,1,2,1,1,2,3
"4",1,3,3,1,1,2,1,3
"5",1,1,1,3,1,3,1,1
"6",3,3,1,1,3,3,2,1
"7",3,2,1,1,2,1,2,2
"8",1,3,2,2,3,2,2,2
"9",1,2,1,2,2,3,3,3
"10",1,1,3,2,2,1,2,1
"11",3,1,3,1,2,2,1,1
"12",2,1,1,1,1,2,2,2
"13",2,2,3,3,1,1,1,1
"14",1,3,3,3,1,3,2,2
"15",1,3,2,3,2,1,1,2
"16",2,3,2,1,1,3,3,2
"17",3,1,2,3,1,1,2,3
"18",1,1,2,1,3,3,3,3
"19",2,3,3,3,3,1,3,3
"20",2,2,2,3,2,2,2,3
"21",2,3,1,2,2,3,3,1
"22",2,1,2,2,1,2,1,3
"23",1,1,3,3,2,2,3,2
"24",3,2,1,3,1,2,1,2
"25",3,1,2,2,2,3,2,2
"26",3,2,2,3,3,3,1,3
"27",3,2,3,1,1,3,3,3
"28",2,2,1,2,3,3,1,2
"29",2,2,3,1,2,2,3,2
"30",3,3,3,2,3,1,1,2
"31",2,1,2,2,3,1,3,1
"32",3,3,2,3,2,2,3,1
"33",3,2,3,2,1,2,2,1
"34",1,2,3,1,3,1,2,3
"35",3,1,1,3,3,1,3,2
"36",1,2,2,2,1,1,3,2
"37",1,2,1,3,3,2,2,1
"38",2,3,2,1,3,2,1,1
"39",1,3,1,1,1,1,3,1
"40",2,1,3,3,3,3,2,1
"41",1,2,2,1,2,3,1,1
"42",3,1,1,2,3,2,3,3

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
