"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",3,3,3,3,3,2,1,2,1,1,3,3,3,1,1
"2",3,1,1,1,1,2,3,2,2,1,1,3,2,2,2
"3",2,1,2,1,3,1,1,1,1,3,3,1,2,3,2
"4",3,1,3,3,1,3,1,1,3,2,2,2,1,2,2
"5",1,1,2,2,2,2,2,3,1,2,1,2,3,1,2
"6",1,1,3,2,3,3,3,1,2,3,2,3,2,1,3
"7",1,2,1,3,3,1,2,3,2,2,3,3,1,3,2
"8",2,2,1,3,2,3,2,2,1,3,3,2,2,2,3
"9",2,3,2,3,2,2,3,1,3,2,1,3,1,3,3
"10",2,2,1,2,3,2,2,1,3,1,2,1,3,2,1
"11",3,3,2,2,1,1,2,2,2,3,2,2,3,3,3
"12",1,3,1,1,2,1,1,2,3,2,2,1,2,1,1
"13",3,2,3,1,2,3,1,3,2,1,1,1,3,3,3
"14",1,3,2,2,1,3,3,3,1,1,3,1,1,2,1
"15",2,2,3,1,1,1,3,3,3,3,1,2,1,1,1

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
