"","V1","V2","V3","V4","V5","V6"
"1",3,1,2,3,1,4
"2",2,4,3,4,4,1
"3",1,2,3,1,1,4
"4",4,1,3,2,4,2
"5",1,3,3,3,2,1
"6",1,3,1,2,1,2
"7",2,1,4,3,2,3
"8",4,3,2,1,4,1
"9",4,4,4,1,2,4
"10",2,4,3,2,1,3
"11",1,4,1,3,4,4
"12",2,2,2,3,4,2
"13",1,4,2,1,3,3
"14",4,4,1,3,3,2
"15",3,3,3,3,3,3
"16",2,1,1,1,1,1
"17",4,2,1,2,2,3
"18",2,3,4,1,3,2
"19",2,2,2,2,3,4
"20",3,4,4,4,1,2
"21",4,2,4,3,1,1
"22",2,3,1,4,2,4
"23",3,3,4,2,4,4
"24",3,1,1,1,4,3
"25",1,2,4,4,4,3
"26",3,4,2,2,2,1
"27",3,2,3,1,2,2
"28",3,2,1,4,3,1
"29",1,1,2,4,2,2
"30",1,1,4,2,3,1
"31",4,3,2,4,1,3
"32",4,1,3,4,3,4

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
