"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",4,2,3,3,2,1,3,4,4,3,3,1,3,2,2,1,3
"2",3,4,2,2,3,1,2,3,4,2,4,4,4,4,2,4,2
"3",2,3,4,3,3,3,2,3,1,4,4,2,3,1,1,3,3
"4",1,3,2,2,4,4,3,1,3,2,3,2,1,3,1,2,3
"5",2,2,2,1,2,3,3,3,3,4,2,1,2,4,3,4,4
"6",4,4,2,4,1,2,2,4,2,1,2,2,3,4,1,1,4
"7",3,1,3,3,4,2,4,2,4,4,3,3,2,4,1,2,1
"8",3,2,1,1,1,1,4,1,2,4,3,2,4,1,2,3,2
"9",2,4,4,2,1,2,3,1,1,3,2,4,3,3,3,3,1
"10",4,2,2,3,4,2,4,3,1,1,2,4,1,2,4,3,2
"11",1,1,1,1,3,1,2,4,1,4,3,3,1,3,4,4,4
"12",4,1,1,4,3,2,3,4,3,2,4,3,2,1,3,2,2
"13",2,1,1,2,1,4,3,3,4,1,1,2,4,2,4,1,1
"14",4,4,3,1,4,4,1,3,3,3,1,3,3,2,2,3,4
"15",1,3,4,1,2,4,4,4,1,3,1,4,2,4,1,1,2
"16",3,4,4,1,4,3,1,1,4,1,3,1,1,1,3,1,3
"17",2,2,4,4,3,4,2,2,2,2,2,3,1,2,2,1,1
"18",4,4,3,2,2,3,4,2,2,3,4,2,1,1,4,4,1
"19",3,3,2,3,3,4,1,4,2,4,1,1,4,3,3,2,1
"20",1,1,4,3,4,1,4,2,2,2,1,1,3,4,3,4,3
"21",2,3,3,4,1,1,1,1,3,1,4,3,2,3,4,4,2
"22",1,2,3,4,1,3,2,1,4,2,1,4,4,1,4,2,4
"23",1,3,1,2,2,2,1,2,1,1,4,1,2,2,2,2,4
"24",3,1,1,4,2,3,1,2,3,3,2,4,4,3,1,3,3

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
