"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",4,4,4,4,2,2,1,4,3,1,1,2,2
"2",4,1,1,1,1,4,4,3,2,1,2,1,1
"3",4,3,3,3,3,4,4,2,1,3,3,1,2
"4",2,1,3,4,1,1,2,2,1,4,1,2,4
"5",3,3,2,3,4,2,4,4,1,1,1,4,4
"6",4,4,3,1,1,3,1,1,2,3,4,3,4
"7",1,3,4,2,3,2,2,1,2,2,2,1,4
"8",3,3,1,4,3,1,1,3,3,3,2,3,3
"9",1,2,1,3,4,4,2,4,2,3,4,2,3
"10",3,1,4,2,3,4,3,1,1,4,1,3,3
"11",1,4,1,3,1,3,3,2,4,1,2,3,3
"12",2,4,3,3,1,1,3,4,3,3,2,4,1
"13",2,1,1,3,3,2,4,1,4,2,4,2,1
"14",4,2,4,4,2,4,3,3,4,2,4,4,4
"15",1,2,2,4,2,3,1,1,1,4,2,4,1
"16",4,2,2,2,4,1,2,2,3,1,4,3,1
"17",2,2,3,1,4,3,4,2,3,2,1,1,3
"18",3,4,2,4,4,1,3,1,2,2,3,1,2
"19",1,4,2,2,2,4,4,3,3,4,3,2,4
"20",2,3,1,1,2,2,3,2,2,4,4,4,2
"21",2,2,4,2,1,2,1,3,1,2,3,3,2
"22",1,1,3,1,3,1,1,4,4,1,3,4,3
"23",3,1,2,2,2,3,2,3,4,3,1,1,2
"24",3,3,4,1,4,3,2,4,4,4,3,2,1

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
