"","V1","V2","V3"
"1",2,3,2
"2",2,1,3
"3",1,3,2
"4",2,3,3
"5",3,1,2
"6",1,3,2
"7",1,1,3
"8",1,1,1
"9",3,1,1
"10",3,1,1
"11",2,1,1
"12",1,1,1
"13",2,1,2
"14",3,3,2
"15",1,2,2
"16",2,3,1
"17",3,3,3
"18",1,2,2
"19",2,1,2
"20",3,2,3
"21",3,3,1
"22",2,3,1
"23",1,3,1
"24",2,3,2
"25",3,2,2
"26",1,2,1
"27",3,3,3
"28",3,2,2
"29",1,3,3
"30",1,2,1
"31",2,2,3
"32",1,1,3
"33",3,1,2
"34",3,1,3
"35",2,3,3
"36",3,3,1
"37",3,2,1
"38",2,1,1
"39",2,2,3
"40",2,2,1
"41",1,3,3
"42",3,2,1
"43",3,1,3
"44",2,2,2
"45",2,2,2
"46",1,2,3
"47",1,1,2
"48",1,2,3

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
