"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",2,2,3,1,2,3,1,2,3
"2",2,3,2,1,1,3,2,3,1
"3",2,2,3,3,3,1,3,3,1
"4",1,1,3,2,2,1,3,2,1
"5",1,1,2,3,2,2,2,3,3
"6",1,1,1,1,3,3,1,3,1
"7",2,3,1,3,2,3,1,1,2
"8",3,3,3,2,3,3,2,3,3
"9",2,1,3,2,1,2,2,2,2
"10",1,2,1,3,1,1,1,2,2
"11",1,3,3,3,1,2,1,1,1
"12",3,1,1,3,1,3,2,2,1
"13",3,3,2,3,2,1,3,2,3
"14",1,2,3,1,2,2,3,3,2
"15",3,3,1,2,1,2,3,3,2
"16",3,1,2,3,3,3,3,1,2
"17",3,2,2,2,3,2,1,2,1
"18",2,1,2,2,2,1,1,3,2
"19",3,1,3,1,1,1,1,1,3
"20",3,2,1,1,2,2,2,1,1
"21",2,3,1,1,3,2,3,2,3
"22",1,3,2,1,3,1,2,1,2
"23",1,2,2,2,1,3,3,1,3
"24",2,2,1,2,3,1,2,1,3

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
