"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",3,2,2,1,3,1,3,1,2,2,2,2,2,1
"2",1,2,2,2,2,3,1,2,1,1,2,1,2,1
"3",3,2,1,3,2,1,1,3,1,2,3,2,1,2
"4",3,1,2,3,3,2,2,2,2,3,3,1,2,2
"5",2,2,2,3,2,1,3,2,2,1,1,3,3,3
"6",3,1,2,2,1,2,1,1,1,2,1,3,3,3
"7",1,1,1,2,2,1,3,1,3,3,1,2,2,2
"8",1,1,3,3,1,1,2,2,1,2,2,3,1,1
"9",2,2,3,2,2,3,2,1,3,2,3,1,3,1
"10",1,3,3,3,1,2,3,3,3,2,3,1,2,3
"11",1,3,1,1,3,3,3,2,1,2,1,1,3,2
"12",2,1,1,1,1,3,3,3,2,1,3,3,2,1
"13",2,3,2,3,1,3,1,3,2,3,2,2,3,2
"14",2,3,1,2,2,2,2,2,2,2,2,2,1,3
"15",3,3,3,2,1,1,2,3,2,1,1,1,1,2
"16",3,3,1,2,3,1,1,2,3,3,3,3,3,1
"17",2,1,2,1,2,2,1,3,3,3,1,1,1,1
"18",1,1,2,1,3,1,2,3,1,1,3,2,3,3
"19",3,2,3,1,1,3,2,2,3,3,1,2,2,3
"20",1,3,3,1,2,3,1,1,2,3,3,3,1,3
"21",2,2,3,2,3,2,3,3,1,3,2,3,1,2
"22",2,3,3,3,3,2,1,1,1,1,1,2,2,1
"23",3,1,1,3,3,3,3,1,3,1,2,1,1,3
"24",1,2,1,1,1,2,2,1,3,1,2,3,3,2

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
