"","V1","V2","V3","V4","V5","V6"
"1",1,3,1,1,2,2
"2",2,3,1,2,3,3
"3",1,2,1,2,3,2
"4",3,3,3,3,3,2
"5",3,2,1,3,1,2
"6",3,2,2,1,2,2
"7",3,3,1,2,2,1
"8",1,1,3,3,3,3
"9",1,1,3,1,1,2
"10",2,1,3,2,3,1
"11",1,1,2,2,2,3
"12",1,2,3,3,2,1
"13",3,3,2,3,2,3
"14",2,3,3,1,2,3
"15",1,3,1,3,1,3
"16",3,1,2,2,3,2
"17",2,2,1,1,1,1
"18",3,1,1,1,3,3
"19",2,2,2,3,3,3
"20",2,1,2,1,2,1
"21",1,1,1,2,1,1
"22",3,1,2,3,1,1
"23",1,3,2,1,3,1
"24",1,2,2,1,1,3
"25",2,3,2,2,1,2
"26",3,2,3,1,3,1
"27",2,3,3,3,1,1
"28",2,2,3,2,2,2
"29",3,2,3,2,1,3
"30",2,1,1,3,2,2

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
