"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,3,3,1,3,3,2,3,2,1,1
"2",3,3,1,2,1,3,1,2,2,1,3
"3",1,2,1,2,1,2,2,1,2,2,2
"4",3,3,1,3,3,1,2,2,1,2,1
"5",1,3,3,2,2,1,3,3,1,2,2
"6",2,1,1,3,3,1,1,3,2,3,2
"7",1,2,1,1,3,1,3,1,3,1,3
"8",3,2,2,2,3,2,1,3,1,1,2
"9",2,2,3,3,1,1,2,2,3,1,2
"10",3,2,2,1,2,1,2,3,2,3,3
"11",2,3,2,1,3,3,1,1,3,2,2
"12",1,3,3,3,1,2,1,3,3,3,3
"13",2,2,3,1,2,2,1,2,2,2,1
"14",2,1,1,2,2,3,2,3,3,2,3
"15",1,1,2,3,2,3,3,2,2,1,2
"16",2,2,3,2,3,3,3,2,1,3,3
"17",2,1,1,1,1,2,3,3,1,1,1
"18",1,1,2,2,3,2,2,2,3,3,1
"19",2,3,2,3,2,2,2,1,1,1,3
"20",3,1,3,3,3,2,3,1,2,2,3
"21",3,1,3,2,2,1,1,1,3,1,1
"22",2,3,2,2,1,1,3,1,2,3,1
"23",3,2,2,3,1,3,3,3,3,2,1
"24",3,1,3,1,1,3,2,1,1,3,2
"25",1,2,1,3,2,3,1,1,1,3,1
"26",1,1,2,1,1,1,1,2,1,2,3
"27",3,3,1,1,2,2,3,2,3,3,2

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
