"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",2,2,1,3,3,2,3,3,3
"2",2,3,2,1,2,2,2,1,3
"3",3,1,3,1,2,3,3,3,2
"4",2,3,1,1,1,3,1,3,1
"5",1,2,3,1,3,2,1,1,2
"6",1,2,2,2,2,1,1,3,1
"7",3,3,2,3,3,3,1,2,2
"8",2,1,2,2,3,3,3,1,1
"9",1,3,1,2,1,1,3,1,2
"10",3,2,2,1,1,1,3,2,3
"11",2,1,3,3,1,1,1,1,3
"12",3,2,1,3,2,3,2,1,1
"13",3,1,1,2,2,2,1,2,3
"14",1,3,3,3,2,2,3,2,1
"15",1,1,2,3,1,2,2,3,2
"16",3,3,3,2,3,1,2,3,3
"17",1,1,1,1,3,1,2,2,1
"18",2,2,3,2,1,3,2,2,2

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
