"","V1","V2","V3","V4","V5"
"1",1,3,1,3,3
"2",1,2,3,2,3
"3",3,3,2,3,3
"4",2,3,2,3,2
"5",3,2,2,2,2
"6",3,2,1,1,1
"7",2,2,2,1,3
"8",1,2,2,3,3
"9",1,2,1,1,2
"10",3,3,1,1,3
"11",2,2,3,1,1
"12",3,3,1,2,1
"13",2,3,3,2,3
"14",2,3,2,2,1
"15",2,2,1,2,1
"16",3,1,3,2,2
"17",1,1,2,1,3
"18",2,1,2,3,1
"19",3,1,1,3,2
"20",3,2,3,3,1
"21",1,2,3,3,2
"22",3,1,2,1,1
"23",1,1,2,2,2
"24",1,2,2,2,1
"25",2,2,3,2,2
"26",2,2,1,3,2
"27",3,1,2,2,3
"28",2,3,1,1,2
"29",1,1,1,3,1
"30",2,1,1,1,1
"31",2,1,1,2,3
"32",3,3,3,3,2
"33",1,3,2,1,1
"34",1,1,3,2,1
"35",2,1,3,1,2
"36",3,3,2,1,2
"37",1,3,1,2,2
"38",3,2,1,3,3
"39",1,3,3,3,1
"40",2,1,3,3,3
"41",3,1,3,1,3
"42",1,3,3,1,3

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
