"","V1","V2"
"1",3,2
"2",4,3
"3",1,1
"4",2,2
"5",3,1
"6",1,2
"7",2,3
"8",2,3
"9",2,4
"10",2,2
"11",1,3
"12",1,1
"13",3,2
"14",3,3
"15",4,1
"16",1,3
"17",4,2
"18",3,3
"19",4,3
"20",4,4
"21",2,1
"22",1,1
"23",3,3
"24",4,1
"25",3,1
"26",3,1
"27",4,1
"28",2,3
"29",2,1
"30",4,2
"31",3,4
"32",2,2
"33",4,2
"34",4,4
"35",2,1
"36",3,2
"37",1,2
"38",2,4
"39",1,3
"40",2,1
"41",1,4
"42",1,4
"43",1,3
"44",1,2
"45",4,4
"46",3,4
"47",3,4
"48",1,4
"49",3,2
"50",4,4
"51",4,3
"52",2,4

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
