"","V1","V2","V3"
"1",2,3,1
"2",3,1,3
"3",3,3,3
"4",3,2,1
"5",2,3,2
"6",1,1,3
"7",3,2,3
"8",1,2,2
"9",3,3,2
"10",1,2,3
"11",3,2,1
"12",1,2,1
"13",2,2,2
"14",3,3,1
"15",2,2,3
"16",2,1,3
"17",2,1,2
"18",1,1,2
"19",2,1,3
"20",1,3,2
"21",3,3,3
"22",1,3,3
"23",1,2,3
"24",3,2,3
"25",3,2,2
"26",3,1,2
"27",3,1,2
"28",2,1,1
"29",2,2,1
"30",3,1,1
"31",1,1,2
"32",1,3,1
"33",2,3,1
"34",1,1,1
"35",1,3,1
"36",2,1,1
"37",2,3,3
"38",2,2,2
"39",1,3,2

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
