"","V1","V2","V3","V4"
"1",2,2,1,2
"2",3,3,1,2
"3",1,3,1,1
"4",3,2,1,1
"5",1,3,2,2
"6",3,2,3,1
"7",3,1,1,2
"8",2,3,3,2
"9",3,3,3,3
"10",3,1,2,3
"11",2,2,2,1
"12",3,3,1,3
"13",1,2,2,2
"14",1,2,1,3
"15",1,1,2,3
"16",2,1,3,1
"17",3,3,2,1
"18",2,1,1,3
"19",1,2,3,2
"20",1,3,3,3
"21",3,2,2,3
"22",3,2,3,2
"23",3,1,3,1
"24",2,1,3,2
"25",2,3,1,1
"26",2,3,2,3
"27",1,2,2,1
"28",1,1,3,3
"29",2,1,2,1
"30",3,1,2,2
"31",1,1,1,2
"32",1,3,3,1
"33",2,2,1,3
"34",1,1,1,1
"35",2,2,3,3
"36",2,3,2,2

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
