"","V1","V2","V3","V4","V5"
"1",3,1,2,2,1
"2",1,3,2,1,1
"3",3,2,3,1,1
"4",2,3,1,3,2
"5",1,2,3,2,3
"6",3,3,2,3,3
"7",3,1,1,3,2
"8",1,2,3,3,1
"9",1,2,2,1,3
"10",1,1,1,3,1
"11",1,3,2,2,2
"12",1,1,3,2,2
"13",2,2,3,1,2
"14",3,3,3,3,1
"15",3,1,3,1,3
"16",2,2,3,3,3
"17",3,3,1,1,2
"18",2,3,2,3,1
"19",2,1,3,3,2
"20",3,2,2,3,2
"21",3,2,1,2,1
"22",1,1,3,1,1
"23",2,1,2,3,3
"24",2,3,3,1,3
"25",1,3,1,2,1
"26",3,1,2,1,2
"27",1,3,1,3,3
"28",3,2,3,2,2
"29",1,3,3,3,2
"30",1,1,2,2,3
"31",2,1,1,2,2
"32",2,3,1,2,3
"33",3,1,1,2,3
"34",1,2,2,2,1
"35",3,3,3,2,3
"36",2,2,1,3,1
"37",3,2,1,3,3
"38",1,1,2,3,2
"39",1,2,1,1,2
"40",2,2,2,2,2
"41",2,1,2,1,1
"42",2,3,2,1,2
"43",2,3,3,2,1
"44",1,1,1,1,3
"45",3,2,2,1,3
"46",2,2,1,1,3
"47",2,1,3,2,1
"48",3,3,1,1,1

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
