"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",2,1,4,4,4,3,4,2
"2",4,2,4,1,2,1,3,3
"3",1,1,3,1,2,3,1,1
"4",3,1,2,2,2,1,4,2
"5",1,2,3,4,4,2,4,3
"6",2,4,3,1,1,1,4,4
"7",3,3,3,4,2,4,1,4
"8",2,4,2,4,3,3,3,4
"9",3,4,1,2,4,3,1,3
"10",1,4,4,3,2,4,4,2
"11",3,2,2,3,2,3,2,1
"12",1,3,1,4,3,1,2,2
"13",2,2,1,1,1,4,2,2
"14",4,4,3,3,4,1,2,1
"15",3,3,4,4,1,2,3,1
"16",2,3,2,3,1,2,1,3
"17",1,2,2,2,4,4,3,4
"18",1,3,4,2,3,3,2,3
"19",3,1,4,1,4,2,2,4
"20",4,4,2,1,3,2,1,2
"21",2,4,1,2,2,2,3,1
"22",2,2,4,2,3,1,1,1
"23",3,1,3,3,3,4,3,3
"24",1,1,1,3,1,1,1,4
"25",4,3,3,2,1,3,3,2
"26",4,1,2,4,1,4,2,3
"27",4,2,1,3,3,2,4,4
"28",4,3,1,1,4,4,4,1

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
