"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,3,1,2,1,3,1,3,1,3
"2",3,3,1,1,2,2,1,3,3,1
"3",3,1,2,1,2,2,2,2,1,3
"4",1,2,1,3,3,2,2,1,1,3
"5",1,3,2,1,3,1,2,1,2,2
"6",3,2,3,1,3,1,2,2,1,1
"7",1,3,2,1,2,3,1,2,1,2
"8",3,1,3,2,3,2,1,3,2,3
"9",2,3,1,2,3,2,2,2,2,1
"10",2,3,3,3,1,3,3,2,2,3
"11",2,2,3,3,1,2,1,2,3,2
"12",1,1,2,3,3,2,1,2,3,1
"13",3,2,1,2,2,3,2,2,3,2
"14",1,1,3,2,3,3,3,2,1,2
"15",2,1,2,1,1,2,3,3,1,1
"16",2,3,3,1,3,3,1,1,3,3
"17",1,3,3,3,1,1,2,3,3,1
"18",2,3,3,2,2,1,2,1,1,2
"19",1,1,1,3,2,2,3,3,2,2
"20",1,2,2,2,1,1,3,2,3,3
"21",2,2,2,2,2,1,1,3,2,1
"22",2,1,1,1,1,1,1,2,2,3
"23",1,1,1,2,1,3,2,1,2,1
"24",2,2,1,1,3,1,3,3,3,2
"25",3,2,2,3,3,3,1,1,2,1
"26",2,2,1,3,2,3,3,1,1,1
"27",2,1,2,3,2,3,2,3,3,3
"28",3,1,3,2,2,1,3,1,3,1
"29",3,3,2,2,1,2,3,1,3,2
"30",3,1,1,3,1,1,1,1,1,2
"31",1,2,3,1,2,2,3,1,2,3
"32",3,2,3,1,1,3,2,3,2,2
"33",3,3,2,3,3,1,3,3,1,3

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
