"","V1","V2","V3","V4","V5","V6","V7"
"1",3,1,4,1,1,4,3
"2",3,1,2,2,4,1,3
"3",1,1,1,1,1,1,1
"4",4,4,3,3,4,1,1
"5",2,1,2,4,2,2,1
"6",2,4,2,3,3,3,3
"7",2,4,1,2,2,1,4
"8",3,4,3,4,2,3,1
"9",2,3,2,1,4,4,1
"10",2,3,4,2,4,2,1
"11",4,1,1,4,3,2,4
"12",1,3,4,4,3,1,1
"13",1,3,3,1,2,3,3
"14",3,4,4,3,1,2,2
"15",2,2,3,1,3,1,2
"16",3,2,1,3,3,4,1
"17",3,3,1,4,2,4,2
"18",3,3,2,1,1,3,4
"19",4,2,2,1,2,2,2
"20",2,2,1,4,1,2,3
"21",1,1,3,3,2,2,4
"22",1,3,2,3,1,1,2
"23",3,2,3,4,4,1,4
"24",4,3,1,3,4,3,4
"25",2,1,4,2,1,3,4
"26",4,1,1,2,3,3,2
"27",1,4,4,2,2,4,2
"28",1,2,2,2,3,4,4
"29",1,4,1,1,4,2,3
"30",1,2,4,4,4,3,2
"31",3,3,3,2,3,2,3
"32",4,2,4,3,2,1,3
"33",4,2,3,2,1,3,1
"34",4,4,4,1,3,4,4
"35",4,4,2,4,1,4,3
"36",2,1,3,3,4,4,2

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
