"","V1","V2","V3","V4"
"1",1,1,1,3
"2",1,1,1,2
"3",1,2,1,1
"4",1,2,2,2
"5",2,2,3,3
"6",3,2,3,3
"7",2,3,2,3
"8",3,1,2,1
"9",1,3,2,3
"10",1,1,3,3
"11",2,1,3,3
"12",2,1,3,2
"13",3,1,1,3
"14",3,2,3,1
"15",1,2,2,1
"16",2,3,2,2
"17",2,2,3,1
"18",3,3,2,1
"19",2,2,1,2
"20",3,3,3,3
"21",3,3,2,2
"22",2,3,1,3
"23",3,1,3,1
"24",2,1,1,1
"25",3,2,1,2
"26",3,1,3,2
"27",2,1,2,3
"28",1,1,3,1
"29",3,2,1,1
"30",3,1,2,3
"31",3,3,1,2
"32",1,3,3,3
"33",1,2,1,3
"34",2,1,1,2
"35",2,3,3,2
"36",2,3,3,1
"37",3,2,2,3
"38",1,3,1,1
"39",2,1,2,1
"40",1,2,3,2
"41",1,3,1,2
"42",3,3,1,1
"43",2,2,2,1
"44",2,2,1,3
"45",1,3,3,2
"46",1,3,2,1
"47",1,1,2,2
"48",3,2,2,2

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
