"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",1,1,1,2,1,3,3,2,1,1,1,3,1,1,3,3,3
"2",1,1,1,2,2,1,1,3,2,2,1,1,2,2,2,1,1
"3",3,3,3,2,1,3,2,1,2,3,1,1,2,2,3,2,2
"4",1,2,2,2,1,3,1,3,1,2,2,3,3,3,1,2,2
"5",3,1,3,1,2,2,2,2,2,2,3,3,1,3,2,3,2
"6",2,1,3,3,3,2,1,1,1,1,1,2,3,2,1,3,2
"7",3,2,1,2,3,2,3,1,3,2,3,3,2,2,1,1,3
"8",1,2,2,3,2,1,2,1,3,1,3,1,1,2,3,2,3
"9",3,3,1,1,2,3,2,2,1,1,2,2,1,2,1,1,1
"10",2,2,3,3,2,3,3,3,3,3,1,3,1,1,1,1,1
"11",1,2,3,1,3,1,3,1,1,2,2,1,2,3,3,3,1
"12",3,3,2,1,2,1,1,1,2,3,1,3,3,1,1,3,3
"13",1,3,2,1,3,3,3,2,3,3,3,1,3,2,2,3,2
"14",2,1,2,3,1,2,2,2,1,3,2,1,2,3,1,1,3
"15",3,2,2,3,3,1,3,2,2,2,2,2,3,1,3,1,2
"16",2,1,1,1,3,3,2,3,3,2,1,2,3,3,3,2,3
"17",3,1,2,2,3,2,1,3,1,3,3,1,1,1,3,2,1
"18",2,2,1,1,1,1,2,3,2,1,3,1,2,1,1,3,2
"19",1,2,3,1,1,2,1,3,2,3,2,2,1,2,2,1,3
"20",2,1,1,2,2,1,3,1,3,3,2,2,1,3,2,2,2
"21",1,3,1,3,3,2,2,1,2,1,2,3,3,1,2,2,1
"22",2,3,3,3,2,3,1,2,1,2,3,2,2,1,2,2,3
"23",2,3,3,2,1,1,1,2,3,1,3,3,3,3,3,1,1
"24",3,3,2,3,1,2,3,3,3,1,1,2,2,3,2,3,1

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
