"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",4,2,2,2,2,4,1,4,3,1,3,2,3,2,2,1
"2",1,3,3,1,2,4,4,2,1,3,2,3,3,4,1,1
"3",1,1,2,1,1,4,2,4,1,4,4,1,1,1,4,3
"4",3,3,1,2,3,3,3,3,1,4,3,1,3,3,2,3
"5",3,3,3,3,4,1,2,1,2,4,1,2,3,1,4,1
"6",3,3,4,3,2,2,1,4,1,3,3,4,1,3,4,4
"7",2,4,1,2,1,4,4,1,1,1,1,4,3,2,3,2
"8",4,1,3,2,1,3,1,1,2,4,4,4,1,4,1,4
"9",4,2,3,4,3,4,2,3,1,2,4,4,4,3,3,1
"10",3,1,4,2,2,1,3,2,3,4,2,4,4,1,3,3
"11",1,4,2,2,3,2,4,1,4,2,3,2,4,1,3,4
"12",1,2,1,2,2,1,2,3,2,3,4,3,2,2,3,4
"13",3,1,2,4,2,1,4,1,2,3,1,1,4,3,2,2
"14",2,2,3,4,2,3,3,4,3,2,1,1,3,1,2,4
"15",4,4,4,1,1,3,3,2,2,2,1,2,1,3,3,1
"16",4,3,1,1,1,1,1,3,3,2,2,1,4,1,1,2
"17",1,3,4,3,4,3,4,4,2,1,2,3,4,2,3,3
"18",2,4,4,3,2,3,2,3,4,1,4,2,4,4,1,2
"19",1,2,4,3,3,1,1,2,1,2,1,2,1,4,2,3
"20",3,4,2,3,3,4,2,2,2,1,2,1,1,2,1,4
"21",4,2,1,3,1,2,3,1,4,3,1,3,4,2,1,3
"22",4,3,2,4,2,3,4,2,4,1,4,4,2,1,4,3
"23",4,4,4,4,4,4,2,1,3,3,3,1,2,4,3,3
"24",2,1,1,4,4,3,1,2,1,3,3,3,1,1,2,1
"25",3,1,4,2,4,1,4,4,4,2,4,1,2,2,1,1
"26",1,4,3,4,4,1,3,3,4,4,3,4,1,2,2,2
"27",2,3,3,1,1,1,2,1,4,1,2,3,2,3,2,4
"28",2,2,2,3,1,2,4,3,4,4,2,1,2,4,3,1
"29",1,1,3,3,1,2,2,2,3,2,3,3,3,3,4,2
"30",3,4,2,1,4,2,1,3,2,2,4,3,3,4,2,3
"31",4,1,1,4,4,2,3,4,1,1,2,2,3,4,4,4
"32",3,1,3,1,3,3,1,3,4,3,2,2,2,2,4,2
"33",2,2,4,1,3,2,3,1,2,1,3,4,2,1,1,2
"34",2,2,1,1,4,4,4,2,3,4,4,2,4,3,4,4
"35",2,3,2,2,3,4,3,4,3,3,1,3,1,4,4,2
"36",1,4,1,4,3,2,1,4,3,4,1,4,2,3,1,1

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
