"","V1","V2","V3","V4"
"1",2,1,1,2
"2",2,2,1,2
"3",3,2,3,2
"4",3,2,1,3
"5",1,2,1,2
"6",3,3,3,3
"7",2,1,2,1
"8",2,3,2,3
"9",3,3,3,1
"10",2,1,1,3
"11",2,3,3,2
"12",1,2,3,1
"13",1,1,3,2
"14",3,1,1,1
"15",2,3,1,1
"16",2,2,2,2
"17",1,1,3,3
"18",1,1,1,1
"19",1,3,1,3
"20",1,1,2,3
"21",1,2,2,3
"22",1,3,2,2
"23",3,2,2,3
"24",3,3,1,2
"25",2,2,2,1
"26",3,2,1,1
"27",3,1,3,3
"28",3,1,2,2
"29",2,1,3,1
"30",3,3,2,1
"31",2,2,3,3
"32",1,3,3,2
"33",1,3,2,1

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
