"","V1","V2"
"1",1,1
"2",3,1
"3",1,3
"4",2,3
"5",2,2
"6",1,1
"7",2,1
"8",2,1
"9",3,2
"10",1,3
"11",3,3
"12",1,3
"13",2,2
"14",1,3
"15",1,2
"16",2,3
"17",2,2
"18",1,2
"19",3,3
"20",2,3
"21",1,3
"22",2,1
"23",3,1
"24",3,3
"25",3,3
"26",1,2
"27",1,2
"28",3,2
"29",3,3
"30",2,2
"31",1,2
"32",2,2
"33",3,2
"34",3,1
"35",1,1
"36",2,3
"37",2,1
"38",2,2
"39",3,1
"40",3,2
"41",1,1
"42",1,1
"43",2,1
"44",2,3
"45",1,1
"46",3,1
"47",3,3
"48",3,2

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
