"","V1","V2","V3","V4","V5","V6","V7"
"1",1,1,3,2,3,2,2
"2",3,2,2,1,2,3,3
"3",1,2,3,3,2,2,1
"4",2,1,1,1,2,2,3
"5",1,3,3,1,1,2,3
"6",1,3,2,1,3,3,1
"7",2,3,1,3,1,1,1
"8",2,3,2,3,3,2,3
"9",2,1,3,1,3,1,1
"10",3,3,2,2,2,1,1
"11",1,1,1,2,2,3,1
"12",1,1,2,2,1,1,3
"13",1,2,2,3,3,1,2
"14",1,3,1,1,2,1,2
"15",3,3,1,2,1,2,2
"16",3,3,3,2,3,3,3
"17",3,1,3,3,2,1,3
"18",3,2,3,1,1,1,2
"19",3,1,1,3,3,3,2
"20",3,2,1,1,3,2,1
"21",2,2,3,2,1,3,1
"22",2,2,1,2,3,1,3
"23",2,1,2,1,1,3,2
"24",3,1,2,3,1,2,1
"25",1,2,1,3,1,3,3
"26",2,3,3,3,2,3,2
"27",2,2,2,2,2,2,2

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
