"","V1","V2"
"1",3,2
"2",2,3
"3",2,2
"4",3,2
"5",2,1
"6",2,1
"7",2,1
"8",2,1
"9",3,3
"10",1,3
"11",2,3
"12",3,1
"13",3,3
"14",2,2
"15",3,3
"16",2,2
"17",1,3
"18",3,1
"19",3,3
"20",2,3
"21",3,2
"22",3,2
"23",2,2
"24",1,2
"25",3,1
"26",1,1
"27",1,3
"28",1,2
"29",3,3
"30",3,1
"31",2,1
"32",3,1
"33",1,2
"34",2,2
"35",1,3
"36",1,1
"37",1,3
"38",1,2
"39",2,2
"40",3,3
"41",2,3
"42",2,1
"43",1,2
"44",1,1
"45",1,1
"46",3,2
"47",3,1
"48",2,3
"49",1,2
"50",1,1
"51",1,3

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
