"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",2,1,2,3,3,1,3,2,3,3
"2",2,3,1,2,3,2,3,1,1,2
"3",1,2,2,3,3,1,3,3,2,2
"4",2,1,1,1,2,3,1,3,2,1
"5",2,2,1,3,3,3,1,2,3,1
"6",1,1,3,2,2,2,3,3,2,3
"7",3,2,2,1,1,2,3,3,1,2
"8",3,3,2,1,1,3,3,2,2,1
"9",2,2,3,1,2,1,3,1,3,1
"10",2,3,2,3,1,1,1,2,2,2
"11",1,1,2,1,1,3,1,1,3,3
"12",3,2,1,1,3,2,3,3,3,3
"13",3,1,2,2,3,1,1,1,2,1
"14",1,3,3,3,3,3,2,1,2,1
"15",2,2,3,3,1,2,1,1,1,3
"16",1,2,3,2,1,1,1,3,3,1
"17",3,1,1,3,3,2,2,1,3,2
"18",1,3,1,3,1,1,2,3,3,3
"19",1,3,2,2,3,2,1,3,1,1
"20",1,1,2,1,2,2,2,2,3,2
"21",2,2,2,1,3,1,2,1,1,1
"22",2,3,2,2,2,2,2,3,3,1
"23",1,1,3,1,2,1,1,1,1,2
"24",1,1,1,3,1,2,3,1,2,1
"25",1,2,2,3,2,2,1,2,2,3
"26",3,1,3,1,3,1,2,3,2,3
"27",3,3,3,2,1,1,3,1,3,2
"28",3,1,3,3,2,2,2,2,1,1
"29",1,1,1,2,3,3,3,2,3,2
"30",2,1,2,2,1,3,2,3,1,2
"31",1,2,3,2,3,3,2,2,1,3
"32",2,1,3,3,1,3,3,3,1,1
"33",3,1,1,2,1,1,1,2,1,3
"34",2,2,3,2,2,3,3,2,2,2
"35",2,3,1,2,2,1,2,1,2,3
"36",1,3,1,1,2,1,3,2,1,1
"37",3,3,2,3,2,3,3,1,1,3
"38",3,3,3,1,3,2,1,2,2,2
"39",2,3,3,1,1,2,2,2,3,3
"40",1,2,1,1,1,3,2,1,2,2
"41",3,2,1,2,1,2,2,2,2,1
"42",3,3,3,3,2,3,1,3,3,2
"43",3,2,2,2,2,3,1,1,3,3
"44",2,3,1,1,3,3,1,3,1,3
"45",3,2,1,3,2,1,2,3,1,2

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
