"","V1","V2","V3","V4","V5"
"1",5,5,5,5,6
"2",4,6,3,6,4
"3",3,2,3,2,6
"4",3,4,1,1,1
"5",2,3,1,4,2
"6",1,2,6,3,1
"7",3,6,6,3,3
"8",4,4,6,5,2
"9",6,6,4,1,3
"10",6,5,3,3,2
"11",1,6,5,5,2
"12",4,5,2,1,4
"13",3,3,6,6,5
"14",1,1,4,1,4
"15",2,2,2,2,3
"16",3,5,1,6,2
"17",4,2,5,1,2
"18",2,5,3,5,5
"19",6,1,6,4,4
"20",4,3,4,3,3
"21",5,1,2,2,2
"22",3,1,3,5,1
"23",3,6,4,4,6
"24",2,1,5,6,3
"25",6,3,5,2,1
"26",2,3,2,3,4
"27",5,3,4,6,1
"28",5,5,6,2,5
"29",1,4,3,4,3
"30",1,4,5,4,4
"31",5,6,2,4,1
"32",5,3,3,1,5
"33",4,1,1,4,5
"34",2,4,6,1,6
"35",1,6,1,2,5
"36",2,5,4,2,1
"37",4,1,5,3,6
"38",6,4,1,3,6
"39",6,4,2,6,4
"40",5,2,1,5,3
"41",1,2,2,6,6
"42",6,2,4,5,5
