"","V1","V2","V3"
"1",4,1,1
"2",5,3,5
"3",3,6,3
"4",2,3,5
"5",1,6,4
"6",2,6,2
"7",2,2,1
"8",4,6,1
"9",6,1,3
"10",5,2,4
"11",5,5,1
"12",1,1,2
"13",6,3,1
"14",3,2,2
"15",6,4,2
"16",2,5,2
"17",2,1,6
"18",6,6,4
"19",5,5,2
"20",5,6,6
"21",5,1,5
"22",4,5,3
"23",3,1,4
"24",4,4,6
"25",3,3,1
"26",2,5,5
"27",4,3,3
"28",3,4,4
"29",3,4,6
"30",1,4,3
"31",1,4,1
"32",3,6,5
"33",5,2,2
"34",6,4,3
"35",6,5,5
"36",4,1,4
"37",2,2,3
"38",1,2,5
"39",1,3,4
"40",4,3,6
"41",6,2,6
"42",1,5,6
