"","V1","V2","V3","V4"
"1",5,3,3,4
"2",5,3,5,1
"3",6,2,2,2
"4",2,6,1,4
"5",2,2,2,5
"6",1,3,6,6
"7",2,2,5,5
"8",4,1,3,1
"9",3,4,6,1
"10",1,5,3,5
"11",6,5,1,5
"12",5,5,6,4
"13",2,1,6,2
"14",6,4,6,3
"15",1,2,4,1
"16",3,3,1,3
"17",5,5,2,2
"18",3,1,4,3
"19",5,1,1,3
"20",2,5,5,2
"21",5,6,2,6
"22",1,6,5,3
"23",2,5,2,1
"24",1,1,2,4
"25",4,2,6,4
"26",4,1,3,6
"27",3,2,1,6
"28",3,6,3,2
"29",5,2,5,2
"30",6,1,5,5
"31",3,6,6,5
"32",3,3,4,4
"33",4,4,1,1
"34",2,4,4,6
"35",1,3,1,2
"36",6,6,4,1
"37",6,3,4,6
"38",4,6,4,3
"39",4,4,2,5
"40",6,4,3,4
"41",1,4,3,3
"42",4,5,5,6
