"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",3,1,1,1,1,1,1,2,3,2,3,2
"2",1,3,3,2,1,3,1,1,2,1,2,2
"3",1,3,1,2,2,2,3,2,3,3,3,3
"4",2,1,1,3,3,3,2,1,2,3,1,2
"5",3,2,1,2,2,3,3,2,1,1,1,1
"6",2,1,3,2,2,3,1,3,3,3,2,1
"7",2,2,3,3,2,1,2,2,3,1,1,3
"8",1,2,2,1,1,1,3,3,2,3,1,2
"9",2,3,1,3,3,1,1,3,1,2,2,2
"10",2,3,3,3,1,2,3,3,2,2,3,1
"11",1,1,3,1,3,2,3,2,1,2,2,3
"12",3,2,2,3,1,2,1,1,1,3,2,3
"13",3,3,2,1,3,2,2,1,3,2,1,1
"14",3,2,2,1,3,3,2,3,2,1,3,3
"15",1,1,2,2,2,1,2,1,1,1,3,1
