"","V1","V2","V3","V4","V5"
"1",3,2,2,3,1
"2",2,3,3,3,3
"3",3,2,3,1,2
"4",1,1,1,3,3
"5",3,2,3,1,3
"6",1,1,1,1,2
"7",1,2,1,2,1
"8",2,3,1,2,1
"9",1,1,3,3,2
"10",2,1,3,1,1
"11",3,1,2,1,1
"12",3,3,1,1,2
"13",2,3,2,1,2
"14",2,2,2,2,2
"15",3,3,2,2,3
"16",3,3,3,3,2
"17",1,3,1,3,2
"18",1,3,3,1,1
"19",2,1,1,1,3
"20",2,1,2,3,2
"21",1,1,2,2,1
"22",3,1,1,2,2
"23",3,3,3,2,1
"24",2,2,1,1,1
"25",2,1,3,2,3
"26",1,3,2,2,3
"27",3,1,2,3,3
"28",3,2,1,2,3
"29",1,2,2,1,3
"30",1,2,3,2,2
"31",2,2,1,3,3
"32",2,2,3,3,1
"33",1,3,2,3,1
