"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",1,4,2,2,2,3,3,1,4,2,1,1,3,4,3,1,3
"2",2,4,4,4,2,2,1,1,1,2,4,2,2,3,1,4,2
"3",4,2,3,4,2,3,1,4,2,1,1,4,1,1,2,2,3
"4",4,2,2,4,1,4,2,1,4,3,2,3,3,3,2,3,1
"5",4,4,3,2,1,2,4,2,3,4,2,2,4,1,1,2,2
"6",2,1,4,4,1,4,3,3,2,1,3,1,4,4,3,2,2
"7",4,2,1,1,4,3,1,2,1,3,4,1,4,3,3,2,3
"8",1,2,3,1,1,3,4,4,2,3,4,2,2,2,4,1,1
"9",1,2,4,3,3,1,1,4,4,4,1,2,4,3,3,3,2
"10",1,2,1,3,4,3,4,2,3,1,3,4,2,4,1,3,2
"11",4,3,2,4,3,1,4,3,1,1,2,2,3,3,4,1,4
"12",4,1,3,2,4,2,3,3,4,2,4,2,1,4,2,4,4
"13",1,4,1,3,1,2,1,3,2,2,2,4,4,2,3,4,4
"14",3,1,3,3,2,2,2,2,1,4,3,4,3,4,4,1,1
"15",1,3,2,2,3,4,1,3,1,4,3,1,1,1,1,3,1
"16",1,1,4,2,4,1,3,1,1,3,2,4,2,1,2,1,3
"17",2,3,3,3,3,4,2,1,3,1,4,3,4,2,1,1,4
"18",3,1,1,2,3,4,4,4,1,2,1,3,3,2,2,4,2
"19",2,3,3,1,4,1,2,2,2,1,1,1,3,2,2,4,1
"20",2,4,2,4,4,3,3,4,3,4,3,3,3,1,4,4,3
"21",3,3,2,1,2,1,3,4,2,3,4,4,4,4,1,3,3
"22",2,1,1,1,1,2,2,3,4,4,1,3,2,3,1,2,4
"23",3,1,2,2,1,1,1,1,3,1,3,2,1,2,4,3,3
"24",3,3,4,1,3,3,4,1,2,4,2,3,1,4,3,3,4
"25",3,4,1,3,4,2,2,4,3,3,2,1,1,3,2,1,1
"26",4,4,4,1,3,4,2,3,4,2,3,4,2,2,4,2,2
"27",3,2,4,3,2,4,3,2,3,3,1,1,2,1,4,4,4
"28",2,3,1,4,2,1,4,2,4,2,4,3,1,1,3,2,1
