"","V1","V2","V3","V4","V5","V6"
"1",4,4,1,1,4,4
"2",1,4,2,3,2,2
"3",4,2,4,1,3,3
"4",2,3,4,3,4,2
"5",3,4,2,3,3,4
"6",1,2,1,2,4,3
"7",3,2,4,4,3,2
"8",3,1,3,2,2,2
"9",3,4,4,4,1,1
"10",3,2,1,3,2,1
"11",1,1,4,1,4,1
"12",3,1,2,1,1,3
"13",4,1,3,4,2,4
"14",1,1,4,3,1,4
"15",3,3,3,2,4,4
"16",2,2,2,1,2,4
"17",2,1,2,4,4,1
"18",2,4,4,2,2,3
"19",2,1,1,3,3,3
"20",4,2,2,4,4,2
"21",1,3,3,4,3,3
"22",2,3,1,4,1,4
"23",4,3,2,2,3,1
"24",1,3,1,1,2,2
"25",2,4,3,1,3,1
"26",4,3,3,3,1,3
"27",4,4,1,2,1,2
"28",1,2,3,2,1,1
