"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,2,1,3,3,1,2,2,2,2,3,3,3,1,1,2
"2",2,3,3,2,3,2,3,3,1,2,3,2,1,3,1,2
"3",1,1,3,3,3,3,3,2,1,2,2,1,2,2,2,1
"4",2,2,1,2,3,1,3,3,3,1,1,1,2,2,3,3
"5",2,2,2,1,3,3,1,1,2,2,3,3,2,3,3,1
"6",3,1,1,1,2,1,2,3,3,2,2,1,1,1,1,2
"7",2,2,1,1,1,3,3,2,1,2,2,2,3,1,3,3
"8",2,1,3,1,3,2,2,1,3,3,1,3,3,2,3,2
"9",2,1,1,3,2,2,1,2,1,1,1,3,1,2,1,1
"10",3,3,2,1,3,2,1,2,1,1,1,1,2,1,2,2
"11",1,1,3,1,2,2,1,3,3,2,3,2,2,1,2,3
"12",1,2,3,1,2,1,2,2,1,3,1,1,3,3,2,3
"13",2,3,3,3,1,3,2,2,3,1,2,3,2,3,1,3
"14",3,1,2,3,1,2,3,3,2,3,2,2,3,2,1,3
"15",1,3,3,2,2,2,3,3,2,1,2,3,3,1,3,1
"16",3,3,1,1,2,3,3,2,2,3,1,2,2,3,1,1
"17",3,1,3,3,2,1,3,1,2,1,3,2,2,1,3,2
"18",1,2,2,1,1,2,3,1,3,3,3,1,2,2,1,1
"19",1,3,2,1,3,1,1,1,2,1,2,2,1,2,1,3
"20",2,3,1,3,2,3,1,3,3,3,3,1,3,2,2,2
"21",1,1,1,2,1,2,1,2,2,3,2,1,1,3,3,2
"22",3,1,2,2,3,3,3,2,3,3,3,3,1,1,2,3
"23",3,2,1,3,3,2,1,1,3,1,2,2,3,3,2,1
"24",3,2,2,2,2,1,1,3,1,3,2,3,2,3,3,3
"25",1,3,2,3,1,1,3,1,3,2,1,3,1,3,2,2
"26",3,3,3,2,1,1,1,2,3,2,1,2,3,2,3,1
"27",2,3,1,2,1,1,2,1,1,3,2,3,2,1,2,1
"28",3,3,1,3,2,2,2,1,1,2,3,1,1,2,3,3
"29",1,1,2,2,2,3,2,1,1,1,1,2,3,3,1,2
"30",2,1,2,2,1,1,2,3,2,1,3,1,3,3,2,1
"31",2,2,3,2,1,3,1,1,2,2,1,1,1,1,1,3
"32",3,2,3,1,1,3,2,3,1,1,3,3,1,2,2,2
"33",1,2,2,3,3,3,2,3,2,3,1,2,1,1,3,1
