"","V1","V2"
"1",5,4
"2",4,1
"3",3,2
"4",4,2
"5",5,4
"6",1,1
"7",3,3
"8",4,1
"9",2,5
"10",4,2
"11",3,1
"12",3,2
"13",5,1
"14",1,2
"15",4,5
"16",2,5
"17",2,5
"18",2,1
"19",4,5
"20",1,5
"21",3,5
"22",2,3
"23",4,3
"24",1,3
"25",5,5
"26",1,1
"27",5,5
"28",4,4
"29",1,2
"30",1,2
"31",3,1
"32",3,3
"33",3,4
"34",1,4
"35",5,3
"36",4,1
"37",5,2
"38",2,2
"39",5,3
"40",5,1
"41",5,4
"42",4,4
"43",2,4
"44",1,3
"45",1,5
"46",3,3
"47",3,4
"48",1,4
"49",5,2
"50",2,2
"51",3,5
"52",2,4
"53",2,3
"54",4,3
"55",2,1
