"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",1,1,1,1,3,1,1,1,3
"2",2,3,2,1,1,3,1,3,2
"3",3,3,2,1,2,2,2,1,3
"4",2,2,1,3,1,2,1,1,1
"5",2,1,3,1,3,2,1,2,1
"6",1,1,3,3,2,2,1,2,3
"7",1,2,1,1,2,3,2,2,1
"8",1,3,3,2,2,1,1,1,2
"9",2,3,1,3,1,1,2,2,3
"10",2,2,3,2,3,1,2,3,3
"11",3,1,3,3,3,3,2,1,2
"12",1,2,2,2,1,3,3,1,3
"13",3,2,3,1,1,2,3,2,2
"14",3,2,2,3,2,1,1,3,2
"15",2,1,2,3,2,3,3,3,3
"16",3,2,1,2,3,3,1,2,3
"17",3,3,3,3,1,3,2,3,1
"18",1,1,1,2,1,2,2,3,2
"19",2,1,1,1,2,1,3,1,2
"20",1,3,2,3,3,2,3,2,2
"21",1,2,2,1,3,1,3,3,1
"22",3,3,1,2,3,2,3,3,1
"23",3,1,2,2,1,1,2,2,1
"24",2,3,3,2,2,3,3,1,1
