"","V1","V2","V3","V4","V5","V6","V7"
"1",1,3,3,4,3,3,1
"2",2,1,4,4,2,3,3
"3",1,1,4,3,2,2,2
"4",1,1,2,1,1,2,1
"5",1,4,1,3,1,3,4
"6",1,2,1,1,2,1,4
"7",2,3,1,3,4,3,2
"8",3,2,2,1,4,3,2
"9",1,3,4,2,4,1,3
"10",3,4,2,4,2,1,2
"11",3,3,1,1,3,2,3
"12",2,4,4,1,3,1,1
"13",3,2,4,2,2,3,1
"14",4,3,4,1,1,4,2
"15",4,2,4,4,4,2,4
"16",4,4,1,2,4,2,1
"17",4,4,3,1,2,3,3
"18",3,1,3,3,4,1,1
"19",4,1,1,4,3,1,2
"20",4,2,3,3,1,1,3
"21",2,3,2,2,2,1,4
"22",2,2,1,4,1,4,1
"23",1,4,2,4,4,4,3
"24",4,3,2,3,2,4,1
"25",3,3,3,4,1,2,4
"26",3,4,4,3,3,4,4
"27",2,4,3,2,1,2,2
"28",2,1,3,1,4,4,4
"29",4,1,2,2,3,3,4
"30",2,2,2,3,3,2,3
"31",1,2,3,2,3,4,2
"32",3,1,1,2,1,4,3
