"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",3,1,2,3,3,3,2,2,2,2
"2",2,1,2,3,1,1,1,1,2,3
"3",3,2,1,3,1,2,1,3,3,1
"4",3,1,3,3,1,2,2,2,1,1
"5",2,3,1,3,3,2,1,1,1,2
"6",1,1,2,2,2,2,1,3,2,2
"7",3,2,2,2,3,2,3,3,1,1
"8",3,1,1,1,2,2,1,2,1,3
"9",1,1,3,2,3,2,3,2,3,3
"10",2,1,3,2,3,1,3,1,1,2
"11",1,2,1,1,2,1,3,3,2,3
"12",3,3,1,2,3,1,1,2,3,2
"13",2,1,1,1,3,3,2,1,2,3
"14",2,1,3,2,1,3,1,2,3,1
"15",3,2,3,1,2,3,2,3,3,2
"16",1,3,3,3,1,1,1,3,2,2
"17",3,2,1,3,3,1,3,1,2,1
"18",2,3,3,2,1,2,2,1,2,1
"19",2,2,1,1,1,2,3,2,2,2
"20",3,1,2,1,1,1,3,1,3,2
"21",1,3,2,1,3,3,3,2,1,2
"22",3,3,2,1,1,1,2,3,1,2
"23",3,3,3,3,2,2,3,3,2,3
"24",1,3,3,1,2,1,2,2,1,3
"25",3,3,2,1,2,3,1,1,2,1
"26",2,1,1,2,2,1,2,3,1,1
"27",2,3,2,3,2,1,3,2,3,1
"28",2,2,2,2,2,3,3,1,3,3
"29",3,2,3,2,2,1,1,1,1,3
"30",2,1,1,3,2,3,3,3,3,2
"31",2,3,2,1,3,2,1,3,3,3
"32",1,2,2,3,2,3,1,2,1,1
"33",1,1,2,1,2,2,2,1,3,1
"34",1,2,2,2,1,1,2,2,3,3
"35",2,2,3,3,3,3,2,3,1,3
"36",2,2,3,1,3,1,1,2,2,1
"37",1,1,3,1,1,3,3,3,2,1
"38",1,3,1,3,1,2,3,1,1,3
"39",1,2,1,2,1,3,1,1,1,2
"40",1,3,1,2,3,3,2,3,3,1
"41",1,2,3,3,3,2,2,1,3,2
"42",3,3,1,2,1,3,2,2,2,3
