"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",3,2,2,3,3,2,3,3,2,1,3,1,1,3
"2",3,1,3,2,2,2,1,2,3,3,3,2,1,2
"3",3,2,1,2,1,1,1,3,1,2,1,1,2,2
"4",2,1,3,2,3,2,3,1,1,2,2,3,1,1
"5",1,1,1,3,1,3,3,2,2,2,3,1,3,2
"6",3,3,3,1,1,3,3,1,2,2,2,2,2,3
"7",1,2,1,2,2,1,3,1,3,1,2,3,2,3
"8",1,3,3,3,2,1,1,3,2,2,1,3,2,1
"9",3,3,1,2,3,3,2,2,1,1,3,3,2,1
"10",3,1,2,1,3,1,3,2,2,3,1,3,3,2
"11",2,3,1,3,2,2,2,1,1,3,1,2,1,3
"12",1,3,2,1,1,2,1,2,1,1,2,3,1,2
"13",1,2,1,1,3,3,2,3,3,2,1,2,1,2
"14",1,2,2,2,1,1,2,1,2,3,3,1,1,1
"15",2,1,2,1,2,3,1,1,2,1,1,1,2,1
"16",2,1,2,3,1,3,2,3,3,3,2,3,2,3
"17",1,2,3,2,3,3,1,2,1,3,2,1,3,3
"18",2,3,1,1,2,2,3,3,3,3,2,1,3,1
"19",3,2,3,3,1,2,2,2,3,1,1,2,3,1
"20",2,1,3,1,2,1,2,3,1,1,3,2,3,3
"21",2,3,2,3,3,1,1,1,3,2,3,2,3,2
