"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",2,3,2,3,3,3,1,3,3,1,1,2,2,1,1,2,2,3
"2",2,1,1,3,3,1,2,2,3,2,3,3,1,1,2,1,1,2
"3",1,1,2,3,3,2,1,2,2,1,2,1,1,3,3,3,1,1
"4",2,1,2,3,2,3,3,1,1,3,2,2,3,3,1,1,3,2
"5",1,2,2,1,3,3,2,3,1,2,1,3,2,2,3,1,3,1
"6",3,2,3,3,1,1,3,3,2,2,2,3,3,2,3,2,1,3
"7",2,1,1,1,1,2,3,3,3,3,2,3,2,1,2,3,2,1
"8",2,3,3,3,1,2,2,2,1,3,1,1,2,3,3,1,2,3
"9",3,1,2,2,2,3,1,3,2,3,3,1,2,2,2,1,1,3
"10",3,2,1,2,3,1,3,1,2,2,3,2,2,3,1,1,2,1
"11",1,2,1,1,1,2,1,1,3,2,1,2,3,2,1,1,1,3
"12",2,3,3,1,2,1,1,1,2,2,2,3,1,3,2,3,3,3
"13",1,1,2,2,1,1,1,1,2,3,1,2,2,1,3,2,3,2
"14",2,2,3,1,3,3,3,2,3,3,3,2,3,3,3,3,1,2
"15",2,3,2,2,1,1,2,2,3,2,3,1,3,2,1,3,3,1
"16",1,3,3,2,3,2,2,1,1,3,2,3,2,1,1,3,1,2
"17",1,1,2,1,1,3,2,2,2,1,3,3,1,3,1,2,2,3
"18",1,2,3,3,2,2,3,1,3,1,3,1,2,1,2,2,3,3
"19",3,1,3,3,2,3,2,1,2,2,1,1,3,1,2,3,2,1
"20",2,2,1,2,1,3,1,1,1,1,3,3,1,2,3,3,2,2
"21",3,2,1,1,3,3,2,1,3,3,2,1,1,2,3,2,3,3
"22",2,1,3,1,3,2,1,3,1,2,3,1,3,3,1,2,2,2
"23",1,2,3,3,2,1,1,3,3,3,2,2,1,2,2,1,2,1
"24",1,3,1,2,1,3,3,3,2,2,1,1,1,3,2,2,1,2
"25",3,2,1,3,1,1,2,3,1,1,2,2,2,3,1,3,3,2
"26",3,3,2,2,2,2,2,1,3,1,1,3,3,3,3,2,1,1
"27",3,1,3,2,2,2,3,2,3,1,1,3,1,2,1,1,3,2
"28",3,3,1,3,3,2,1,2,2,3,3,3,3,2,2,2,3,1
"29",2,2,2,1,2,1,3,2,1,3,1,1,1,1,1,2,1,1
"30",3,3,2,2,2,2,3,3,1,2,3,2,1,1,3,3,3,3
"31",1,3,1,1,2,1,2,3,2,1,2,1,3,1,3,1,2,2
"32",1,1,1,2,3,1,3,2,1,1,1,2,3,2,2,3,2,3
"33",3,3,3,1,1,3,1,2,1,1,2,2,2,1,2,1,1,1
