"","V1","V2","V3","V4","V5"
"1",4,2,4,4,2
"2",3,4,3,2,1
"3",2,2,2,4,4
"4",3,1,4,1,2
"5",2,3,2,2,2
"6",4,4,2,1,2
"7",4,3,3,4,3
"8",4,1,4,2,4
"9",2,4,2,4,1
"10",2,4,1,3,3
"11",3,3,1,1,4
"12",2,1,3,4,2
"13",4,3,3,3,4
"14",4,4,1,3,2
"15",4,3,2,1,1
"16",3,4,3,4,4
"17",2,4,4,1,3
"18",3,3,4,2,3
"19",4,2,1,2,3
"20",1,1,3,2,3
"21",1,2,4,2,1
"22",3,2,1,4,1
"23",3,2,3,3,2
"24",1,4,4,3,2
"25",1,2,2,3,3
"26",3,1,2,1,3
"27",4,1,2,3,1
"28",2,2,3,1,4
"29",1,3,3,1,1
"30",3,1,1,3,4
"31",2,1,1,2,1
"32",1,3,1,4,3
"33",1,2,1,1,2
"34",2,3,4,3,1
"35",1,4,2,2,4
"36",1,1,4,4,4
