"","V1","V2","V3","V4","V5","V6"
"1",1,4,4,4,1,1
"2",4,2,4,3,2,2
"3",3,2,3,4,4,4
"4",1,2,2,3,1,3
"5",4,3,3,2,3,1
"6",2,1,2,1,2,1
"7",4,1,2,4,3,2
"8",3,3,2,1,1,2
"9",3,4,3,3,1,2
"10",1,3,3,1,2,3
"11",1,3,2,3,4,1
"12",3,1,4,2,2,3
"13",2,4,3,3,3,3
"14",2,4,2,2,4,4
"15",3,1,1,3,4,1
"16",2,1,1,4,1,3
"17",1,1,3,2,4,2
"18",2,2,3,4,2,1
"19",4,4,1,1,4,3
"20",3,4,4,1,3,1
"21",1,4,1,2,2,2
"22",4,1,3,1,1,4
"23",3,2,2,2,3,3
"24",4,3,4,4,4,3
"25",4,2,1,2,1,1
"26",1,1,4,3,3,4
"27",2,3,1,4,3,2
"28",2,2,4,1,4,2
"29",1,2,1,1,3,4
"30",4,4,2,4,2,4
"31",3,3,1,3,2,4
"32",2,3,4,2,1,4
