"","V1","V2"
"1",4,4
"2",3,4
"3",3,4
"4",2,4
"5",3,2
"6",1,3
"7",2,2
"8",4,3
"9",1,3
"10",4,2
"11",2,1
"12",1,1
"13",3,4
"14",3,1
"15",3,3
"16",1,2
"17",4,4
"18",4,2
"19",1,1
"20",2,1
"21",1,3
"22",1,3
"23",4,1
"24",3,3
"25",3,3
"26",4,3
"27",4,4
"28",4,2
"29",2,3
"30",2,2
"31",1,2
"32",4,1
"33",2,4
"34",4,3
"35",3,1
"36",2,1
"37",2,3
"38",4,1
"39",3,1
"40",1,4
"41",3,4
"42",1,4
"43",2,3
"44",4,2
"45",2,1
"46",2,4
"47",1,4
"48",3,2
"49",3,2
"50",1,1
"51",2,2
"52",1,2
