"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",1,3,4,3,2,2,1,4,2,4,1,3
"2",2,4,4,4,3,2,3,2,4,4,4,1
"3",3,2,1,3,4,2,4,3,1,3,4,2
"4",3,3,3,4,1,1,3,2,1,1,2,3
"5",1,1,4,4,3,1,4,3,3,2,3,2
"6",1,3,2,1,4,1,1,3,4,3,2,1
"7",2,4,2,3,1,2,2,4,3,1,3,1
"8",4,4,3,3,4,1,4,1,2,4,2,4
"9",2,2,4,1,4,4,2,2,2,1,1,2
"10",2,1,2,4,1,3,1,2,2,3,1,4
"11",1,1,2,2,4,4,3,2,1,4,3,3
"12",4,2,1,2,1,1,2,3,3,4,1,2
"13",4,3,1,3,3,4,1,2,2,2,3,1
"14",4,1,4,2,1,2,2,1,1,2,2,1
"15",3,3,2,2,3,2,3,1,3,2,1,3
"16",2,2,3,2,3,1,1,4,1,2,4,4
"17",2,4,1,1,2,1,2,1,1,3,3,3
"18",4,2,3,4,4,3,2,4,4,3,3,3
"19",1,4,3,1,1,3,3,3,2,2,4,2
"20",2,2,1,3,2,4,3,3,4,2,2,4
"21",3,1,1,1,3,3,3,4,2,4,2,1
"22",1,3,1,4,4,3,2,1,3,1,4,4
"23",3,3,4,1,1,4,4,4,3,3,3,4
"24",4,4,2,4,2,4,4,4,1,1,1,2
"25",3,1,3,3,2,4,1,1,3,4,4,2
"26",3,4,4,2,3,3,1,3,4,1,2,3
"27",4,1,2,1,2,2,4,2,4,1,4,4
"28",1,2,3,2,2,3,4,1,4,3,1,1
