"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",2,4,2,4,4,3,1,1,4,1,1,2,3,2,2,1,3
"2",3,2,1,4,1,3,2,2,1,2,1,2,1,1,3,4,4
"3",1,3,4,4,2,1,3,1,2,2,4,2,3,1,1,2,4
"4",1,1,3,1,4,2,2,2,3,2,3,3,4,1,2,3,1
"5",1,3,1,2,3,1,1,2,4,4,2,1,2,2,4,2,1
"6",4,2,4,2,1,1,2,3,4,3,2,2,3,4,3,1,1
"7",1,1,2,4,4,2,3,4,2,4,2,2,1,4,3,2,2
"8",2,2,1,4,4,1,4,3,3,3,3,4,3,3,1,4,3
"9",2,4,4,4,1,4,2,4,3,3,3,1,2,1,4,3,2
"10",3,1,4,3,3,3,4,3,4,2,4,1,1,2,2,4,1
"11",4,4,3,3,4,1,2,2,1,1,3,1,2,4,1,2,3
"12",3,2,2,3,4,4,1,4,2,1,4,4,3,1,3,2,1
"13",4,2,2,1,1,2,3,1,4,1,3,4,1,2,4,3,3
"14",3,1,4,2,1,3,1,4,1,4,3,3,4,2,1,2,3
"15",4,1,1,1,3,4,3,1,2,3,2,3,2,1,1,1,2
"16",3,4,2,3,3,1,4,4,4,3,2,3,4,1,3,3,4
"17",2,4,1,1,2,3,4,3,2,1,3,2,4,4,4,2,1
"18",2,2,3,3,2,4,2,2,4,4,1,4,4,4,1,3,4
"19",2,1,2,3,2,1,1,1,1,3,4,3,3,4,4,4,2
"20",1,3,1,2,3,4,2,4,4,2,4,3,1,4,2,1,3
"21",4,3,3,4,3,2,2,3,1,2,1,4,4,2,4,1,2
"22",4,3,3,1,4,4,3,3,3,4,4,2,3,2,4,4,4
"23",1,1,3,3,1,3,4,2,3,1,2,3,2,3,4,1,4
"24",1,4,2,2,1,3,3,3,2,3,1,4,2,2,1,4,1
"25",1,2,4,2,3,4,3,1,1,1,2,1,4,3,3,4,3
"26",3,3,3,1,2,1,1,4,3,1,2,2,1,3,1,4,2
"27",3,3,4,2,4,3,4,1,3,2,1,4,2,4,3,3,2
"28",2,2,3,1,2,2,4,3,1,4,1,1,2,1,2,1,3
"29",3,4,1,3,1,2,3,1,3,4,4,1,4,3,2,1,2
"30",4,3,2,4,2,4,4,2,1,4,3,3,1,3,2,3,1
"31",4,1,1,2,2,2,1,4,2,2,1,1,3,3,2,3,4
"32",2,4,4,1,3,2,1,2,2,3,4,4,1,3,3,2,4
