"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",2,1,1,3,2,3,2,3,2,3,1
"2",3,2,3,2,2,3,3,1,3,1,1
"3",2,2,3,2,1,2,2,1,1,1,3
"4",2,3,1,2,1,3,1,2,1,1,2
"5",1,3,3,3,2,1,1,1,1,2,2
"6",1,3,1,2,3,3,3,3,1,2,1
"7",1,3,3,1,1,1,2,2,3,2,2
"8",3,3,2,1,3,2,2,2,1,1,1
"9",1,2,3,3,3,2,3,2,3,3,1
"10",1,2,2,1,2,3,2,3,1,2,3
"11",1,1,3,3,1,3,2,2,2,1,1
"12",3,1,1,1,1,3,1,1,2,2,2
"13",2,3,2,1,3,1,1,2,2,3,3
"14",3,2,3,3,1,1,3,3,2,2,2
"15",2,3,2,2,1,1,3,3,3,1,3
"16",1,1,1,2,3,2,2,3,3,2,3
"17",3,2,2,2,3,3,1,3,3,2,1
"18",2,1,2,3,3,2,3,3,1,1,2
"19",2,2,1,3,3,1,2,1,3,1,2
"20",3,1,2,3,2,1,1,2,3,3,3
"21",1,2,1,3,1,2,1,2,1,3,3
"22",2,3,1,3,2,2,1,2,3,2,1
"23",2,1,2,3,1,3,3,1,3,2,3
"24",1,1,1,2,2,1,3,2,2,1,2
"25",3,1,2,2,1,1,2,2,1,3,1
"26",1,3,2,2,1,2,3,1,2,3,1
"27",3,1,3,1,2,2,3,2,1,2,3
"28",2,1,3,2,3,1,1,3,1,3,2
"29",2,2,1,1,2,1,3,1,1,3,1
"30",3,2,1,1,1,2,2,3,3,3,2
"31",2,1,3,1,3,2,2,1,2,2,1
"32",1,1,2,1,2,2,1,1,3,1,2
"33",3,3,2,3,3,3,2,1,1,3,2
"34",3,3,1,2,2,1,2,1,2,2,3
"35",3,2,1,1,3,3,3,2,2,1,3
"36",3,3,3,3,2,2,1,3,2,1,3
"37",1,2,2,1,1,1,1,3,2,1,1
"38",1,2,3,2,3,3,1,1,2,3,3
"39",2,3,3,1,2,3,3,3,3,3,2
