"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",1,4,2,4,4,4,4,4,2,3,4,2,2,2
"2",2,4,3,1,2,2,1,2,4,4,1,4,2,2
"3",1,3,1,1,4,2,3,3,1,3,3,4,1,1
"4",1,3,2,1,1,1,3,3,3,2,1,3,4,3
"5",2,1,4,1,2,1,4,2,1,3,3,2,4,4
"6",1,1,1,2,2,2,2,1,2,1,1,2,3,2
"7",2,2,3,3,2,3,4,4,1,2,1,1,1,2
"8",3,4,1,4,1,2,2,3,1,3,2,1,3,3
"9",3,4,3,2,3,2,3,1,3,3,4,1,1,4
"10",1,1,4,3,3,1,2,3,3,4,4,1,2,1
"11",1,4,3,3,3,4,1,3,1,1,2,3,4,4
"12",4,4,2,1,2,4,2,1,4,2,2,1,4,1
"13",4,1,2,4,3,2,3,1,1,2,1,4,2,4
"14",2,3,2,3,1,3,1,1,2,4,3,2,1,1
"15",3,3,4,2,4,3,2,3,4,1,1,2,2,4
"16",2,2,1,3,4,4,3,2,2,4,1,1,4,4
"17",1,2,2,4,2,1,2,4,4,4,2,3,1,4
"18",4,4,4,2,1,1,3,4,1,4,1,2,3,1
"19",4,3,1,3,2,3,1,4,3,3,4,4,3,4
"20",3,3,3,4,3,1,4,2,2,1,2,4,3,1
"21",4,2,3,1,4,3,2,1,1,4,4,3,3,3
"22",3,1,3,3,1,4,3,4,4,3,3,3,3,2
"23",2,4,1,3,4,1,4,1,4,2,3,3,2,3
"24",4,2,2,3,1,2,4,2,4,1,4,2,4,2
"25",2,1,3,4,1,4,2,2,3,1,4,4,1,3
"26",3,2,4,4,4,2,1,1,3,3,1,3,4,1
"27",1,3,4,4,3,3,1,2,4,2,3,1,3,3
"28",4,3,1,1,3,4,4,2,3,4,2,2,1,2
"29",2,1,2,1,4,3,3,4,3,1,2,1,3,1
"30",3,2,1,2,2,4,1,2,1,2,4,3,2,1
"31",3,1,2,2,3,3,4,3,4,4,3,4,4,3
"32",1,2,4,2,1,4,4,1,3,3,2,4,2,3
"33",4,4,4,4,2,3,3,3,2,1,3,3,1,2
"34",3,2,1,1,1,1,1,4,2,1,3,1,2,4
"35",4,1,3,2,4,1,1,3,2,2,2,2,1,3
"36",2,3,4,2,3,2,2,4,2,2,4,4,4,2
