"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,2,2,2,2,1,3,3
"2",1,1,2,3,3,3,2,2
"3",1,2,1,3,1,2,1,3
"4",1,3,3,3,2,2,2,1
"5",2,1,3,1,2,3,3,2
"6",1,3,1,2,3,1,2,1
"7",1,2,2,3,1,3,3,1
"8",1,2,3,2,1,1,1,2
"9",1,1,2,1,1,2,1,2
"10",3,1,2,2,1,3,2,3
"11",2,3,2,2,3,3,2,3
"12",1,1,1,3,2,3,1,3
"13",1,1,1,1,2,1,3,1
"14",3,2,1,3,3,1,3,2
"15",2,1,3,2,1,1,2,3
"16",2,2,1,2,2,3,2,1
"17",1,1,3,2,3,3,1,1
"18",3,3,2,1,3,3,3,3
"19",2,1,1,3,1,2,2,1
"20",3,2,3,3,2,3,3,2
"21",3,1,2,3,2,1,1,1
"22",2,3,3,3,1,3,1,3
"23",2,2,2,3,3,2,1,2
"24",3,1,2,2,3,2,3,1
"25",2,2,3,1,3,1,3,1
"26",2,2,1,1,1,2,3,3
"27",1,2,3,1,3,2,2,3
"28",3,2,3,2,2,2,1,3
"29",2,3,2,3,1,1,3,2
"30",2,1,3,3,3,2,3,3
"31",3,3,1,3,2,1,2,3
"32",3,3,3,2,1,2,3,1
"33",3,2,1,1,3,3,1,1
"34",1,3,3,1,1,3,2,2
"35",3,3,3,1,3,1,2,2
"36",3,3,1,2,1,3,1,2
"37",2,3,2,1,2,1,1,3
"38",3,2,2,1,1,1,2,1
"39",2,1,1,2,3,1,1,2
"40",2,3,2,1,2,2,1,1
"41",3,1,1,1,2,2,2,2
"42",1,3,1,2,2,2,3,2
